,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mean,0.987,0.001,0.986,0.988,0.0,0.0,3.0,12.0,2.16
log_sigma_gp,-8.073,2.361,-10.456,-5.713,1.663,1.407,3.0,11.0,2.05
log_rho_gp,-7.98,0.627,-8.658,-7.354,0.441,0.373,3.0,19.0,1.96
log_ror,-3.132,4.362,-7.499,1.229,3.072,2.599,3.0,20.0,1.85
log_period,1.242,1.047,0.195,2.296,0.737,0.624,3.0,14.0,2.11
t0,144.912,0.136,144.771,145.049,0.096,0.081,3.0,14.0,2.21
log_dur,3.206,12.295,-9.086,15.579,8.659,7.325,3.0,13.0,1.97
u[0],0.234,0.225,0.009,0.461,0.159,0.134,3.0,12.0,2.12
u[1],0.379,0.245,0.132,0.624,0.173,0.146,3.0,11.0,2.1
sigma,0.115,0.01,0.104,0.125,0.007,0.006,3.0,11.0,2.23
ror,1.709,1.708,0.001,3.417,1.203,1.018,3.0,20.0,1.85
period,5.538,4.324,1.216,9.936,3.045,2.576,3.0,14.0,2.11
dur,2694701.577,2706779.233,0.0,5831215.134,1901430.383,1606652.627,3.0,13.0,1.97
b,0.5,0.098,0.403,0.6,0.069,0.058,2.0,13.0,2.51
rho_circ,195853993.641,195903179.291,-229.671,391755224.702,137969254.956,116715718.512,3.0,20.0,1.85
ecs[0],0.122,0.43,-0.308,0.552,0.303,0.256,3.0,11.0,2.07
ecs[1],0.135,0.115,0.02,0.251,0.081,0.068,2.0,12.0,2.75
ecc,0.231,0.135,0.095,0.368,0.095,0.081,3.0,11.0,2.12
omega,1.75,1.325,0.423,3.075,0.933,0.79,2.0,12.0,2.83
